[00:00] OK,好了,今天给大家带来第二期视频,雅思知学流程
[00:05] OK,我们现在正式开始
[00:07] 首先先给大家提些建议,就是
[00:10] 计考同学早日用电脑训练,而且我记得好像现在已经取消直逼考试了吧
[00:16] 然后所以就是能尽早用那个电脑训练就尽早
[00:19] 就是不要用指字书,就是能不用就不用
[00:24] 你要尽早的去习惯计考流程
[00:27] 然后也非常建议大家不管水平如何
[00:29] 就先花2000块钱去考一次
[00:33] 考试,就熟悉一下它的过程
[00:35] 就因为你前花的体验了,然后你又会得到个很差的成绩
[00:39] 因为第一次你什么都没准备好,你去考试你大概就成绩会非常差
[00:43] 但是就是要有一次失败的经验
[00:46] 你前花的你体验了,成绩上你又会心痛,然后就会倒逼你自己去
[00:50] 还认真的对待这个事情,越早越好
[00:54] 那就是平时打字不要用中文输入法
[00:57] 它会自动给你打单词,因为考试的时候它是没有输入法的
[01:02] 你该拼什么就是什么,它不会给你揪错
[01:04] 然后你也不要开启,电脑它有这些功能
[01:07] 你不要开启它自动拼写和揪错的功能
[01:10] 考试的时候它没有输入法提醒的,然后就是说到前面一些小建议
[01:15] 然后关于自学和报办,我个人他是不建议报任何办的
[01:21] 原因就是有两个,第一个,雅士他这个信息透明的考试
[01:26] 他所有东西都能在网上找到
[01:29] 花钱,报办,并不能给你提供特别强的破除信息庇联的能力
[01:35] 你很多东西你都可以去网上找到,现在AI也特别发达
[01:38] 你基本上问什么你都能去网上找到
[01:40] 所以去报办它并不会给你很多去弥补你的信息差,懂我意思吧
[01:45] 那还有第二个就是价格高,就是你动辄基本上是上万
[01:49] 你报办了,什么冲刺办啥的,基本上都是一万块钱打底
[01:54] 而且最终你还是要靠自己学,你并不是说你眼睛一闭耳朵一闭
[01:58] 出来教师你去报办,出来教师你分数就称称找,那是不现实的
[02:02] 就本质还是要靠自己学
[02:04] 然后给一家人大家讲一下报办的人给你提供什么
[02:06] 就报办那顶多就是人给你刷点题,然后给你提供环境
[02:11] 然后给你讲点题,然后讲一些技巧性的东西
[02:14] 但是雅士这么多年了,就是技巧性的东西
[02:18] 就是在网上都能找到属于自己的方法,就适合自己的
[02:22] 没必要通过去报办去讲,他报办也不会讲你什么秘诀
[02:25] 比如说什么三天拿下听乐九分这种东西,不可能不现实的
[02:31] 所以报办它实在是一个比较性价比较差的一个东西
[02:34] 但是报办有个好处就是怎么他会给你提供一个环境
[02:38] 环境它是真的非常重要的
[02:41] 就是关于环境这一点,环境它会倒逼自己自学
[02:44] 就是如今大家这个短视频信息化随便时代
[02:47] 专注力它成了一种稀缺的资源,特别不容易专注
[02:51] 不建议大家在加学,因为你在加学的话
[02:55] 你会玩电脑,你可能就是加可能对你来说不是一个很适合学习的环境
[03:00] 你最好去图书馆自习是就周围有人在认真学习的环境
[03:04] 当然从来到大自取力专注力都特别好同学
[03:07] 就忽视我这句话,我这句话是说给专注力没有那么好的
[03:11] 像我一样专注你没有那么好的同学
[03:13] 就建议大家去图书馆学习,去自习是自己学习
[03:17] 周围有人在认真学习,你自己都会被这种环境给鼓舞
[03:22] 你自己也会更容易进入状态
[03:24] 然后再给点小建议,学习的时候最好就带一个笔记本
[03:30] 你做机考,你做机考训练你就带一个笔记本进去
[03:35] 然后手机就放在你的书包里面关上
[03:37] 桌面不要有任何和当前任务不相关的物品
[03:41] 那什么意思呢?就是比如说你早上的时候你在被单词
[03:45] 那你的桌面上最好就只有单词
[03:48] 你现在就只有单词本
[03:50] 然后你被单词如果是用iPad,你又只留一个iPad
[03:53] 然后如果是被单词说你就只留个书
[03:56] 不要有过多东西去打乱你,就可能会让你走深
[04:00] 然后把书包关上,把手机放在书包里把书包关上
[04:04] 这个动作很重要,为什么呢?
[04:06] 因为它能潜意识地暗示你自己
[04:08] 手机已经和你现在的学习空间隔绝了
[04:12] 能一定程度提高你不碰手机的概率
[04:15] 然后呢,学习的时候你尽量保持桌面干净整结
[04:19] 你可以提前用那个湿纸巾去擦一下桌面
[04:22] 能给自己提高仪式感
[04:24] 桌面保持整结波段可以一定程度的提高专注度
[04:27] 比如说你被单词的时候,就我刚才讲过的
[04:30] 就只留iPad的单词,而单词说啥其他啥也不需要
[04:33] 然后下午你开始机考模拟的时候
[04:36] 桌面上就留笔记本,下午你放在书包里就行了
[04:39] 就像拍摄那句话,每项任务都要有确定的物品做匹配
[04:42] 能帮你刷新体感,就刷新感觉
[04:45] 让你自己不沉浸在我一直在学一个东西的感觉
[04:49] 因为我们这个背考流程它是比较长的
[04:52] 就是每天你从早上9点一一直学到晚上10点
[04:55] 如果你一直在干一件事情的话
[04:58] 你大脑会觉得非常累
[04:59] 但是你通过不断的去刷新你的桌面
[05:01] 去更换你的桌面的设置,反而会刷新你的感觉
[05:04] 就是让你自己承认那一种你不是在做一件事情
[05:07] 而是在做很多像事情的一种假象当中就不会那么累了
[05:11] 然后每项任务它都有
[05:14] 然后就是通过这个物品的这个摆放更新
[05:18] 就是你一定程度的保持专注不疲倦
[05:23] 当然这些东西我觉得都不是非常重要
[05:25] 只是我的一点建议
[05:26] 只要你能找到专属于自己
[05:28] 比如说有人说我桌面很乱啥的
[05:31] 我还可以好好学习,那OK没问题
[05:33] 只要你能找到自己的
[05:35] 适合你自己并且可以长期高校学习方式就OK了
[05:39] 如果你有已经有自己很舒服的学习方式
[05:43] 那就不要不要管我说的一话
[05:45] 不要让我的话去影响你的状态
[05:47] 所以说那么多
[05:48] 我还是觉得就爆斑你没有特别大必要
[05:50] 你只要有环境
[05:51] 你又你又可以不用去爆斑的
[05:54] 而且花这么多钱
[05:55] 你还不多去考几次去多熟悉几次
[05:58] 我觉得还是比较现实一点
[06:01] 然后后面我们来讲一下值得你花钱的地方
[06:04] 第一个那就AI会员
[06:06] 因为Chart DVD在这会员他真的非常值
[06:09] 而且他现在一直在更新
[06:10] 现在应该都到5.3了
[06:11] 我觉得他真的是个非常强大的工具
[06:13] 那雅士学习
[06:15] AI他不仅能跟你提供很多专业上的支持的帮助
[06:19] 他还可能给你提供一些情绪价值的帮助
[06:21] 比如你自己坚持不下去的时候
[06:24] 没有进步的时候
[06:26] 你就可以问AI他自己到底有没有进步
[06:28] 可能能不能苦力一下自己
[06:29] 因为AI他会对你和AI的对话
[06:31] 他会有个记忆
[06:33] 他会对比你之前和你现在的水平
[06:36] 他会真的给你一些比较客观的
[06:38] 客观的一些分析一些报告
[06:40] 他会鼓励你
[06:41] AI会给你几不少的人
[06:44] 所不能提供给你的情绪价值
[06:46] 然后除了之外
[06:48] AI他作为世界全联的学习工具
[06:51] 这种新东西
[06:52] 进导接触AI
[06:53] 进导掌握AI
[06:53] 对你日后的生活也是很有帮助
[06:57] 未来肯定出不出马AI
[06:59] 所以你早点学会AI
[07:01] 也能对你以后的生活和学习也有很好的帮助
[07:07] AI很关键的一点就是提示词
[07:09] 就是这个提示词
[07:10] 在你日复一日和AI的日常对话中
[07:14] 他就能逐渐提升
[07:16] 你会变得如何
[07:18] 越来越清楚的
[07:19] 如何向AI表达自己的需求
[07:21] 你会再训练AI
[07:22] 你会更懂怎么去用AI
[07:25] 如果你的语法基础已经很夯时
[07:28] 单词量也记得大差不差
[07:32] 练习量也够
[07:33] 副盘也好做
[07:34] 但是依旧没明显提升的时候
[07:36] 我觉得这个时候你可以去找专业的老师
[07:39] 比如听力
[07:41] 比如听力
[07:41] 感觉基本上都听得懂
[07:43] 但老师做错题
[07:45] 做做填控题
[07:46] 就说明你可能是自己的方法出现问题
[07:48] 你不知道怎么定位
[07:50] 比如说你的Pod1和Pod4
[07:52] 就是他都是填控题
[07:53] 你可能错得比较多
[07:54] 但是Pod2和Pod3
[07:56] 你这些题你都听得懂
[07:57] 你都没做错
[07:58] 那就说明就是你的定位出的问题
[08:00] 这个时候反而你可以去找一个老师
[08:02] 来打破你的僵局
[08:03] 就是他讲的东西可能是你自己已经清楚了
[08:06] 但因为你一直用自己的一套
[08:08] 思维方法学习方式一套定时
[08:10] 你相当于你自己把自己困住了
[08:12] 这个时候你去找一个老师
[08:13] 来帮助你打破这个僵局
[08:15] 你仅仅需要上一次一两次一六一
[08:18] 就是专门讲方法的
[08:20] 他就能帮你打破这个僵局
[08:22] 其实那些方法你也懂
[08:23] 你只是需要一个老师来打破你的僵局而已
[08:25] 去刷新一下自己的做体思维
[08:29] 所以就是这一对一的专项的
[08:31] 专业的老师还是挺有帮助的
[08:33] 在有些情况下
[08:34] 还有就是作文的人工批改
[08:36] 因为你做了很多以后
[08:40] 你找AI训练
[08:41] AI给你改OK
[08:41] 但是有的时候你去找到真正给你改
[08:44] 也会给你不错的效果
[08:45] 而且也挺便宜的
[08:46] 然后还有一个就是去找那个老师
[08:50] 来给你进行一下口语的模拟训练
[08:52] 就模拟一个一次两次吧
[08:53] 不需要特别多
[08:54] 真的只有一次两次就行了
[08:56] 先要总结一下你的点
[08:57] 比如说我想我现在的什么分数
[09:00] 然后他跟你说
[09:00] 比如说我是你现在是6分
[09:02] 然后你问他如何达到6.5
[09:04] 你需要做到什么
[09:04] 因为他们专业老师都很懂得思量平分标的
[09:06] 你应该如何提升
[09:07] 你就能达到这个
[09:08] 你做好什么你就能达到这个分数
[09:11] 你就按上去做就行了
[09:12] 你不需要每个星期都练
[09:13] 你就是可能就找个一两次
[09:15] 然后专项训练就行了
[09:16] 不要浪费过多的钱
[09:18] 然后我们继续讲
[09:20] 不值得你花钱的地方
[09:21] 就爆版本我刚刚已经说过了
[09:23] 没信任比我就不多追损
[09:25] 那我想提一个点就是
[09:26] 自学它是一个人能力的体现
[09:29] 如果自学这件事都做不到
[09:31] 那大概率很多事情
[09:32] 其他很多事情也很难做到
[09:34] 学习雅师是一个很好的
[09:36] 提升自己自学能力的机会
[09:39] 所以珍惜这个机会
[09:40] 这个是一个修炼的机会
[09:42] 还有一个就是各种真经
[09:43] 就是考过的一些真体
[09:44] 确确实在现实当中已经考过
[09:46] 但不是我说那个见小雅师
[09:48] 不是见小一二三四的
[09:49] 不是这些就是真二八点考过的
[09:51] 考上了高中生考过的真体
[09:54] 这些东西
[09:56] 为什么我不建议你买的
[09:58] 因为他很多他都是要会员
[10:00] 而且这个价格还不便宜
[10:02] 真的价格挺高的
[10:03] 一个月可能要好几百
[10:05] 他都不是一套完整的题目
[10:07] 就听力的四个部分他是分开的
[10:08] 不是一套完整的听力
[10:10] 阅读也是三个part都分开的
[10:12] 比如你买的
[10:13] 你假如你买了这个东西
[10:14] 买了他的会员
[10:15] 你不能像做见小雅师一样
[10:16] 听力part1做的parts
[10:18] 他是连贯的
[10:18] 阅读part1做的part3是连贯的力
[10:21] 如果你买这个真体
[10:22] 他只能听力就做一个part
[10:24] 而且你都不知道你做的哪一个part
[10:25] 你就是点进去的时候
[10:26] 你才知道啊
[10:27] 原来的part1
[10:28] 啊原的part2
[10:29] 就是他是没有连续性的东西
[10:31] 都是碎片的东西
